state,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.0,0.0,0.02275002275002275,0.0,0.0,0.01424055139414998,0.0,0.021495553107450896,0.0,0.01741098633237573,0.01711596063329054,0.023386839587541192,0.018685767673621925,0.021188236291211117,0.02236818024686337,0.0179240022305425,0.017790780422234524,0.02122486782695944,0.018144063867104814,0.024742778201612404,0.020467477178762947,0.019214346712211786,0.0181298094355586,0.03492534707063651,0.024088162675391937,0.04837734327756501,0.06829187533628575,0.090649047177793,0.09567470599960136,0.10569138116699238,0.15398533289704155,0.1620470690207458,0.1572646103896104,0.22170078485314348,0.2163617159017343,0.2662556053811659,0.364021749147544,0.36487305171559176,0.42351129363449697,0.4247833176006179,0.452140032565713,0.5294066595307664,0.5483413747190288,0.6157262541637226,0.7136408580886463,0.7623649225338869,0.7758315013119638,0.8243210423303856,0.8133303971225134,0.866228879214934,0.7920374636731866,0.862923266911619,0.8535630383711825,0.7931983647409482,0.7451637570570913,0.6819142937693825,0.6276189939305109,0.6216748192465846,0.5543148827564205,0.5191984996545257,0.5369996572342614,0.5515535752841189,0.4504892874078545,0.3915355890007921,0.38197800174881497,0.40520775888939503,0.2996637918432978,0.37271367767168984,0.2919288842095188,0.28744809964867457,0.24415921869050017,0.24814465914573905,0.2525843117077506,0.23177163399001963,0.19993335554815062,0.21064590187214505,0.17105136359256048,0.16053671977956152,0.1896993265673907,0.157136025141764,0.206152507043544,0.15094695629613908,0.1139808415181278,0.17149717029669012,0.11860300797415968,0.11586590452649467,0.11926058437686345,0.10929246142236332,0.09616884129542029,0.08672115207736578,0.06851119894598155,0.07188873835264191,0.09186690781729968,0.06045427066240608,0.0672691643999883,0.11946038868331343,0.0757554501837771,0.05631899076368552,0.06343531040050748,0.045864546705396726,0.06857814643067076,0.03699593044765076,0.06293046183966716,0.04916075567104432,0.052077908551192584,0.04924722104966934,0.0501810100720456,0.04479116121085439,0.031688188227838074,0.020209369063497837,M
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.547645125958379,0.3933910306845004,0.0,0.38204393505253104,0.5579399141630901,0.46911649726348714,0.3894839337877313,0.5532836179937455,0.5637205556674049,0.6662965019433648,0.6560283687943262,0.4630423598010633,0.5236458844706267,0.6623702112423917,0.48139233475282356,0.5744125326370757,0.401536312849162,0.3460806367883717,0.3240661777247143,0.3214285714285714,0.3075148952527388,0.3050640634533252,0.29548332629801605,0.12518255789693303,0.095565749235474,0.13922728854855554,0.10704727921498662,0.14915832090347325,0.1141552511415525,0.15408320493066258,0.1634320735444331,0.15689350853108452,0.0,0.12216404886561956,0.11464133639043562,0.0779787897691828,0.0878348704435661,0.1285677552069941,0.0723589001447178,0.0,0.0,0.0,0.0,0.06693440428380187,0.09095634095634096,0.09157509157509157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M
Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.20167098818784213,0.10774410774410774,0.11694386694386695,0.2102803738317757,0.0894654439722657,0.13557790080216925,0.24630541871921183,0.22631416520934058,0.19520851818988466,0.2329192546583851,0.24182853576722052,0.3829544528640104,0.47569080097936345,0.4117190763172027,0.488627770344948,0.4570848146267141,0.34598275578010873,0.4282544760332284,0.4403222784335769,0.4194556001784917,0.516233627714493,0.46411403944969337,0.546448087431694,0.4229651697377616,0.5659761274171897,0.5542109509277772,0.4867477912985497,0.4364339019189765,0.3846281375377168,0.41434587691889685,0.33133370535714285,0.2731013842124953,0.3040233742646188,0.27199621570482496,0.290857636978225,0.21547720771259798,0.14539798471630486,0.15399551404372133,0.15512427177772414,0.14258555133079848,0.14685246222628331,0.120172246887205,0.1511864852428844,0.10737068148803132,0.11056511056511058,0.08999634389852912,0.08902621036369825,0.07307731075496421,0.049799556783944626,0.07381344881037326,0.059393709018340776,0.06662817039044108,0.056748734066701584,0.06698764915218756,0.04902561588429955,0.03630130079661188,0.041755313860775856,0.0446066504460665,0.028043748247265732,0.024440416301757674,0.0,0.01973749136484753,0.013475532283525198,0.025113008538422906,0.01717819514429684,0.01850994909763998,0.012512512512512512,0.010895224260032685,0.01243493862469579,0.0,0.013683634373289547,0.010085050593337143,0.00953001159484744,0.017769736523270276,0.015339776039269826,0.009356112348197079,0.0,0.01033420829630242,0.014487954300852719,0.012584156546907444,0.010430138929450541,0.0,0.0,0.01182396481188072,0.0,0.020739895782023697,M
Arkansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019962072063080146,0.0,0.0,0.0,0.0,0.0181647543216978,0.0,0.015453084435653356,0.0,0.026815043239257225,0.016856584181781403,0.05161623330537454,0.020676821283341373,0.028838759292489108,0.04253230819564861,0.028333962976955045,0.04337185166826729,0.056732854997497084,0.08054123711340205,0.11749791286602147,0.07469654528478058,0.090906425031524,0.1277574312239162,0.14829994337638525,0.15654019633855135,0.17583521728208992,0.23018355663105708,0.3253467843631778,0.4233778186838472,0.4257775853359313,0.41173193828864835,0.5774330252038363,0.5603372119437644,0.6110777426683728,0.6641517453907869,0.8368311991923915,0.8994050089940501,0.9445100354191263,1.1686419006241922,1.1176051318602993,1.0845423865701347,1.067698484275449,0.8558702803411836,1.018047200370199,1.0849803530584716,0.8972873399292867,0.8484315846403462,0.8545454545454545,0.810207094991103,0.7340158392891636,0.6650385121172271,0.4792040092182756,0.4293563293672452,0.4642525533890436,0.41431559010377617,0.42954994001780117,0.4179769913618088,0.36160552854674755,0.28986627502512174,0.2963793655879526,0.22372212953132112,0.22769004774146162,0.2293310529793602,0.20734938371155398,0.18942322560692748,0.2174419507649297,0.2486595695081203,0.18702001512076719,0.16698473282442747,0.12841606806051606,0.1760356765637836,0.16489340818970594,0.11006930289441501,0.14808546646921938,0.13692182619485688,0.11027303603722818,0.11018069634200088,0.11667602955792748,0.06103675284474866,0.0656254101588135,0.07991475759190196,0.09534541041865303,0.08037149490980533,0.049433758763257236,0.05390351271224508,0.07615805035391093,0.05411499436302142,0.053163211057947905,0.07644572353628923,0.023498449102359244,0.05412853065643146,0.04203446826397646,0.04241781548250265,0.07699923000769993,0.06730229949523275,0.060992514555031886,0.051209103840682786,0.02970708811122334,0.0,0.03282563025210084,0.04139643990616807,M
California,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014911277896515732,0.0,0.03510655873120767,0.030408423133207896,0.03472983841485706,0.02485295335929086,0.037842092516347785,0.03666137113528046,0.03855050115651503,0.05447364837259975,0.03936113844523503,0.037296037296037296,0.06079838661842339,0.03859692459704811,0.06160748135978769,0.09485338610234353,0.10168006757813723,0.13113754193351632,0.13396432471787406,0.17202283212135427,0.17982826995676976,0.19057800915704093,0.2600120493388718,0.2760628893952143,0.34950093098501267,0.39674721631554993,0.38907944199029604,0.42998396241902287,0.5014045688238724,0.5184234681452897,0.46946573944414116,0.47076865879728597,0.4286076007642197,0.4411764705882353,0.41080070171793015,0.4460408188035031,0.4978762180514117,0.5007523885636939,0.45706324124103714,0.44004615595235763,0.41381815779913467,0.40881856936158917,0.3601278923749965,0.33934830263923804,0.3257115376207756,0.3215985726139008,0.27013869665238016,0.22928520925221374,0.19478584201413526,0.18683108754983352,0.17729799288663295,0.14921300501866888,0.12665643932851767,0.12002046744021551,0.10839489973471775,0.09731197022595156,0.08461592175902535,0.09272800058823048,0.08577476648016558,0.06712274740610401,0.06511621023656422,0.06005733380354967,0.06199933080087389,0.055134217360386685,0.04556574923547401,0.05064573309698658,0.05440776413499007,0.04497287573432274,0.04614100913426205,0.04232888746905199,0.04326857385768435,0.038778895663226835,0.034768486740869346,0.026976725206916016,0.03377995367981694,0.029320227351926843,0.02336425368608385,0.02334458662124306,0.026179325736921576,0.021145422839802825,0.019774955436720143,0.016395018175856358,0.012276271919423015,0.013980826295366353,0.0134348282199996,0.014958736466577102,0.010198618087249176,0.013673811233035928,0.00789154758885037,0.015344047646109431,0.01186112989123344,0.013237560632755397,0.015437573082127889,0.01305465549098894,0.01381494709886111,0.009640412609659694,0.012609566912496421,0.016555066731008344,0.01623880424662774,0.01414502859589565,0.011392626529358392,0.011934140592700569,M
Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035452611675726775,0.0,0.0,0.0,0.0,0.0,0.0,0.03786205590963589,0.0,0.06152584085315833,0.09171907756813417,0.0513083632632119,0.06412722842118763,0.10152284263959391,0.12085635359116022,0.25267026530377856,0.19305019305019305,0.2198647831583576,0.1715438950554995,0.2929593698972241,0.29384845127414616,0.3475238922675934,0.4777381838117241,0.5651097080266508,0.5661419497376415,0.5793180004856558,0.5776076297938075,0.5417049450375392,0.6396071417745309,0.6230622466014787,0.6231068801384682,0.6659361038523139,0.5432285613902327,0.569915998163304,0.48294760832406325,0.5318438143090038,0.5159769512833945,0.45275641190543564,0.4854625085747454,0.406030912486804,0.37273089398509074,0.3061578764637187,0.2960072656328837,0.29238805479812086,0.22496464841239233,0.2597241976377466,0.2055076037813399,0.19541388049219868,0.15050113676390534,0.12452902484194393,0.12367211035357538,0.122291555611301,0.1048767697954903,0.12591139351702732,0.08601657252630673,0.08265784982935154,0.06826283720577453,0.06769171260032879,0.0734130170455849,0.06873324627122139,0.046325249577282096,0.039086749591888355,0.03218760777100816,0.03570748428870692,0.053215935753852105,0.034133853468243325,0.04146948333902522,0.02700579397034273,0.022054499117820033,0.02010403839871334,0.025464731347084286,0.030687397708674305,0.03028391167192429,0.015158788307521284,0.014630934672876687,0.021406655091216135,0.0,0.03183047995816566,0.011190188442773377,0.0,0.0,0.013897252976328347,0.01391465677179963,0.0,0.0,0.018007820539205598,0.0,0.019546520719311962,0.0,0.0,0.02020085420754935,0.0,0.023500381881205568,0.0,0.0,0.0,M
Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06498429546193003,0.032598065848093015,0.058361629881154495,0.0303060915243964,0.060630557801131774,0.07073803348266919,0.08160933610805075,0.08633093525179857,0.08472781190425757,0.09991042513608488,0.1256763833129691,0.12691071126403067,0.1400346267440676,0.10245334219416292,0.09737377208809463,0.10520329826556724,0.0952658180952129,0.10291847386605896,0.09511354179051243,0.13839103407595627,0.14670783244651733,0.13958682300390843,0.15272084237601477,0.17406262158786068,0.15035455228884329,0.1497824106871774,0.13233976708200992,0.13615131647849857,0.16512549537648613,0.14052490183922298,0.09318452703434825,0.10223090553864328,0.08819603356216628,0.11935208866155159,0.11335680864405961,0.09119708169338582,0.07028546712802769,0.08421971989145013,0.06694784762669881,0.040934675081016544,0.055731652095161795,0.049691204656775755,0.04524571905888904,0.03780718336483932,0.032868787799105965,0.02269117313365101,0.018947767321417293,0.03410323980778174,0.018217148409035707,0.03535338655982088,0.017073587160662457,0.016790261648244018,0.016020934020453393,0.018304003347017754,0.012887262230011857,0.025595740868719446,0.02397442727757059,0.01935144997650181,0.0,0.01751211254450995,0.0,0.01523368472366096,0.0,0.01603180710529691,0.0,0.0,0.016902170238658643,0.03110527407202599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13793103448275862,0.2054231717337716,0.0,0.0,0.28622540250447226,0.20325203252032523,0.11822327309576085,0.081913499344692,0.22061140876142452,0.33938320790910437,0.19286403085824494,0.2865702748469454,0.34529535084474045,0.3723764387271496,0.5687915861772913,0.3506311360448808,0.44348184818481845,0.3810504634397528,0.3247773703509691,0.4518845640340967,0.4324791869391285,0.3619716810390717,0.33787465940054495,0.20144566891811827,0.13722554890219563,0.08964015879113843,0.23228803716608595,0.21628498727735368,0.20820575627679117,0.18324607329842932,0.0,0.0999000999000999,0.09955201592832255,0.0,0.1554672655035412,0.18074268813670719,0.0,0.0,0.0,0.07453786523553965,0.0,0.0,0.0,0.0,0.11384659171766046,0.0,0.0,0.0,0.0,0.060960741282614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M
Florida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019863340219291276,0.017374383209396067,0.0,0.0,0.0,0.0,0.0,0.0,0.034423407917383825,0.02307869836141242,0.03487662394280234,0.04342539517109606,0.05854066485469371,0.0750276417627547,0.12233351173637128,0.13129413434583584,0.1374435499705478,0.17428292913478863,0.2609066506108728,0.24183796856106407,0.28425504379376487,0.38252767448818226,0.3654984675715292,0.3533773606766307,0.35536467637109953,0.3644671707555894,0.4159872208725748,0.3808572409702494,0.44525778840888786,0.5219518825608265,0.5544928135663324,0.50571156592099,0.569138546507712,0.5279026482209136,0.5527659394911177,0.5881015379527038,0.5144075515442578,0.5125933426148589,0.5265918164206741,0.4205241882905203,0.3898861671636942,0.40325492934010637,0.35102516714007514,0.3139659890539484,0.30863123208836596,0.2968686901760475,0.2722701622642338,0.24416711882799783,0.21623197560708948,0.22928658434641383,0.20101900198490463,0.24263431542461003,0.16983322133300752,0.16140023672034717,0.15311881796743151,0.1324516806080551,0.1434303103134146,0.14572822608166314,0.1186800635339889,0.10651532968624844,0.09845482876182882,0.11243660489298588,0.10295258802830427,0.08942642477551768,0.08637322987120638,0.07585438691204308,0.08513838535052183,0.08084427644372583,0.06977290754722523,0.05463417554783858,0.0638608441795402,0.05707762557077625,0.05860534696678773,0.04008139606585682,0.03572676789250903,0.05100836689480857,0.040604314783035056,0.033204376800179146,0.028719561044182773,0.03275198558912634,0.02689754941516004,0.03188911093158723,0.02996126436535622,0.03839985543583836,0.03139869091611719,0.024278753579023156,0.03571701915962956,0.028402000189346667,0.024706714262589774,0.022728994620804608,0.025824725091636122,0.019394716204707015,0.03049099208976548,0.025322637533575103,0.015026860513167286,M
Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015210860554435867,0.008844078889183692,0.013746885471260418,0.0122600532436598,0.010468281108242028,0.0,0.0,0.014799741004532421,0.013914841172027194,0.011361699710276656,0.01357799588780696,0.010084101405723736,0.015667841754798274,0.0,0.0,0.022464567250745415,0.028772010588099896,0.026902382782475018,0.06417861101927304,0.04365486087385643,0.0613462718197535,0.0581998072131386,0.07988354753958674,0.12453937491469906,0.136777398713978,0.13436598879780182,0.21010002588188725,0.2119012603380932,0.31505123006958524,0.32280236639909665,0.37126037812615226,0.432503111759307,0.43835057852082165,0.47353519367960334,0.47745801353593464,0.5433881851544927,0.6040429694203246,0.6765559644350987,0.6981233725419772,0.7740621286708539,0.7131371041040341,0.7224003016875649,0.7422918112626019,0.655764920727152,0.694720845243695,0.6956605756108166,0.6378684861735098,0.6043616911840345,0.5735826542096627,0.505143147408672,0.5235160010132568,0.42257566018899667,0.39715610188030626,0.38184994109761544,0.3632980373045058,0.2763631846975531,0.2825760720329512,0.27245172495998365,0.25262137938194273,0.26506970351462794,0.23961001404610424,0.2230871463831403,0.2317880794701987,0.23174093483990188,0.1851796091656379,0.1841124433068391,0.1850057263677209,0.1938917036995103,0.20416383105790198,0.1666196369304363,0.15704595243751154,0.10658410627958025,0.12934498693992366,0.1328730541262294,0.11380327912239145,0.08351293103448276,0.08800552403904738,0.0946329593078275,0.08001193398337379,0.06742107767965734,0.06920144147908289,0.07233686134165841,0.057004771051490176,0.05474202819214452,0.048760361576835075,0.05423528251651711,0.06630811169233036,0.05018052750749648,0.04731320156606697,0.045331456451978475,0.05376478531596189,0.027764923646459973,0.043550947584327274,0.044688549640329256,0.05441416533082342,0.030101441859065048,0.032707432020575945,0.04666636559334025,0.034607519270095956,0.03401801334802047,0.041402867148550036,0.02507792068211944,M
