state,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013434720692156808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010510089686098656,0.0,0.006884397202180976,0.0,0.01573271546668955,0.014538264712723889,0.028929325657418924,0.06442653227769267,0.0475854013756507,0.0716506885631171,0.062204348517945235,0.07233529536912275,0.111433347143449,0.14827864640681201,0.1756068767062643,0.16864676032584963,0.18600112820356451,0.2004698512137823,0.17916184829877682,0.29123212339130855,0.2660699182407668,0.19918447112764717,0.19293356459376765,0.2033817195724996,0.20333629454150626,0.18852115626309174,0.14917463246118515,0.14010432383497864,0.1697408622835804,0.147268627180266,0.18701896564125928,0.18272182429469375,0.17485333026573105,0.1507501615180302,0.13688004745174978,0.15231951257755977,0.10339360797739126,0.1730670283923476,0.14899605042215547,0.10234683676869614,0.11360677853778607,0.07227522405319456,0.1174074517790823,0.08062221379114104,0.04099200655872105,0.04352108482030373,0.040095285266161934,0.058202982902873776,0.05144915108900703,0.027758150802462904,0.03604717029713168,0.03370407819346141,0.028624216086809443,0.02339242085564277,0.04730244658765406,0.03689064558629776,0.04423922360162579,0.037320931300777994,0.028787747934479087,0.03802170161738469,0.026223012149995627,0.04208636121320951,0.033791394458211305,0.028834232000230674,0.033634000917290935,0.0,0.020179598425991326,0.03496136768870398,0.03160334293138563,0.03471860570079506,0.04924722104966934,0.0,0.02612817737299839,0.07129842351263567,0.05658623337779394,F
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22719896137617657,0.16839066634592254,0.18119589289309443,0.1665741254858412,0.15957446808510636,0.12004801920768307,0.14727540500736377,0.2506265664160401,0.31475652656915387,0.08703220191470844,0.22695530726256985,0.25956047759127876,0.3240661777247143,0.23214285714285715,0.23063617143955412,0.1016880211511084,0.1266357112705783,0.2086375964948884,0.286697247706422,0.20884093282283328,0.10704727921498662,0.19177498401875134,0.2054794520547945,0.17609509134932863,0.20429009193054137,0.09805844283192783,0.2748259435690729,0.12216404886561956,0.08188666885031118,0.09357454772301933,0.10247401551749377,0.15428130624839292,0.20501688374336707,0.14870738961336077,0.21645021645021645,0.08482792050412022,0.12797542871768622,0.09370816599732262,0.12993762993762994,0.0,0.14701951349906442,0.06888950124001103,0.0739863865048831,0.12658227848101267,0.0,0.0,0.08874689385871495,0.0,0.0,0.0,0.09498480243161095,0.09674922600619196,0.0,0.0,0.0,0.0,0.0,0.15068751177246187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1926252063841497,F
Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03881987577639751,0.0,0.06518373665770391,0.0,0.03580165881019154,0.058169972660112854,0.09593138084758196,0.060409687517161845,0.08771477219957691,0.15458122540753233,0.09817045961624275,0.1237254149067793,0.14917951268025859,0.1522248243559719,0.10298282393615066,0.16689039654609442,0.1332912413623768,0.09668278046341057,0.12326759061833689,0.16247223051162174,0.19698410542045916,0.18136160714285715,0.1608679386457164,0.15398586488727445,0.13008514664143805,0.1925949217828787,0.1746108407326225,0.19949956042469735,0.19751598540390347,0.21372677444930882,0.15616512764801738,0.15011585027575627,0.1902727242380746,0.17747978702425557,0.1831617507737005,0.1812039312039312,0.160305987569255,0.17019716687177608,0.18143332325370426,0.2216080276885536,0.22390079472479887,0.21856884918749409,0.2554079864966908,0.19643792561550552,0.20305631149256856,0.13482044368182375,0.09882020772411013,0.1173125484659893,0.13381995133819952,0.07211249549296903,0.11405527607486915,0.09778487327878668,0.08881871114181387,0.08662842182266199,0.09852026426612062,0.09161704076958314,0.06848681166126792,0.057200057200057206,0.10532050118031595,0.09059740997992646,0.09904430929626412,0.09749589490968802,0.1260631324167143,0.14930351498594324,0.1486196145582605,0.10226517359513218,0.14221290769259556,0.1104040789288797,0.10127524130376371,0.09313684907691035,0.12164684662010529,0.10221536150861531,0.07515245211715194,0.10417359310237825,0.0756733747960366,0.09129490722463482,0.10369947891011849,F
Arkansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0201765447667087,0.0,0.012027615404969811,0.016953668047179637,0.01734777328938564,0.027764456447663996,0.04178309351578617,0.06641517453907869,0.042505711705010364,0.049813200498132,0.0768787238131847,0.11548931723815548,0.11119030648610122,0.13845221956214485,0.12800744770604836,0.13100055311344647,0.1648542341508561,0.1788751392880183,0.15152865674302524,0.17577068685776095,0.14909090909090908,0.10600840495210691,0.15839289163608267,0.0939319932368965,0.10608333028496178,0.09096532401848414,0.08898173939956669,0.1775638243301898,0.1160945783831895,0.1472871302893993,0.1325886938004741,0.14300069567906007,0.12015379685998077,0.1327165175185803,0.08446566287183253,0.1010611419909045,0.08831547824751372,0.10051028297510438,0.1281354352721907,0.112673867433367,0.05968723886832995,0.05566157760814249,0.036117019142020146,0.04303094316003599,0.06281653645322131,0.04891969017529555,0.03384810662153585,0.05134568482307132,0.03528737153191302,0.022036139268400177,0.05185601313685666,0.052317216724070276,0.03937524609528809,0.05327650506126798,0.030337176042298693,0.0,0.06740967104080532,0.02695175635612254,0.0,0.040586245772266064,0.0354421407052986,0.026980843601043258,0.042297208384246644,0.03444542859954729,0.026271542664985287,0.04772004241781548,0.04399956000439995,0.08412787436904094,0.03326864430274466,0.04551920341394026,0.08317984671142534,0.05662157911292859,0.04595588235294117,0.08279287981233614,F
California,0.0,0.0,0.0,0.024449877750611245,0.0,0.0,0.01480735629460716,0.030726256983240222,0.019881703862020976,0.014880583318866101,0.02478110028085247,0.019005264458254935,0.00913943116180449,0.018225499130146632,0.02270525550980867,0.0106928999144568,0.013878180416345413,0.025723667287060995,0.024222239043221558,0.023310023310023312,0.025209087134468233,0.029333662693756563,0.039491975230633136,0.04742669305117177,0.05631511435096831,0.08081732235437634,0.06698216235893703,0.0716761800505643,0.09408233991115769,0.07669602807539452,0.09829723816469545,0.09926918967978594,0.09157229632795093,0.08084403894101103,0.06780910748731048,0.09155311975148063,0.09805480468542957,0.10302905419328251,0.12246932333325421,0.1352356166930012,0.13258752848560182,0.16608996539792387,0.16863608572467562,0.19912536553727817,0.19253663340143154,0.2210366402430683,0.23685730791450027,0.23469128317459073,0.22953201889098054,0.2405005518888842,0.21357149791282398,0.23562414079239066,0.20704386331982186,0.21086385556449752,0.21668368954095513,0.1895559072085115,0.16143453208821776,0.18075818413043168,0.16085503386892103,0.15301241023905168,0.12834970723397915,0.14071365148163198,0.12754738201867163,0.13359055561720545,0.15978443477796536,0.1584954371287816,0.17154953296033115,0.15017292640009708,0.1587207624516253,0.16655435014123948,0.16762782031347387,0.1682220154689071,0.1889908256880734,0.18539955865861157,0.16851702080729358,0.17426989347050062,0.1685390154005979,0.1480179964326598,0.1255041674468505,0.10915541001500888,0.10991328066468375,0.11108063320494829,0.12031216379112884,0.12304882298513561,0.11532993308875433,0.1428893928355207,0.1494072630440474,0.16751568743220419,0.16934046345811052,0.16932096357479237,0.1763319057517124,0.17490299018488928,0.18694420544424975,0.17640019418133374,0.18980761440158192,0.19599129434018162,0.26211211634395876,0.24635720942920142,0.28792892810969173,0.2593931523989927,0.25159959533850984,0.23565326835015932,0.1977896084641822,0.2052030684056135,0.18300911978406967,0.1856280886647106,0.19414392632634944,0.17968009297489065,0.1708893979403759,0.18753649502815178,F
Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032067727039507436,0.0,0.0,0.0,0.0,0.03861003861003861,0.0,0.025227043390514632,0.0,0.0,0.043440486533449174,0.02741120726788581,0.03139498377925838,0.04832919083126208,0.09366219169528567,0.07723822956545101,0.053853707986188104,0.16672224074691563,0.16396374910565226,0.14423770373575653,0.2051195594144258,0.1756709278127618,0.20257677659833076,0.22519467129717557,0.2672581981452281,0.20691461498166577,0.18264605253003371,0.2427312542873727,0.2517391657418185,0.2987537699880498,0.3061578764637187,0.25564263850112684,0.22339761490193502,0.1992544028795475,0.22880465029991964,0.2172508954259879,0.17098714543067386,0.18252265522431074,0.15965259595121017,0.16489614713810052,0.18500517387350662,0.17582281995126314,0.15226494099733537,0.1634314877999828,0.16531569965870307,0.12135615503248805,0.16439415917222705,0.15141434765651884,0.13517538433340207,0.14824079864730272,0.15404777780332468,0.16093803885504082,0.0904589601980575,0.11126968384896349,0.09996342801414117,0.07318144118651511,0.07119709319453993,0.07351499705940012,0.05026009599678335,0.053475935828877004,0.04603109656301146,0.05047318611987382,0.07579394153760644,0.07559316247652954,0.06659848250600577,0.07131519013549886,0.04547211422595093,0.06490309296808558,0.06706458319361545,0.06244362728092694,0.05095659424653727,0.11827458256029684,0.052480916030534355,0.07847753580537571,0.08232146532208273,0.07333369547503937,0.061431922260694743,0.051166889337388784,0.0461241315690853,0.037515872099734504,0.0462494580141639,0.09106397978967158,0.06562294928283491,0.052405751531230546,0.05014039310068191,F
Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.021649707728945658,0.023609963404556723,0.0,0.0,0.0,0.023772732675621064,0.0,0.0,0.0,0.0344842450105608,0.0,0.03953610964681075,0.0,0.0230755030459664,0.027379757232819206,0.039337168707282294,0.04643723234095248,0.03854413303232201,0.060066619341451424,0.04873822159644753,0.06519613169618603,0.058361629881154495,0.11617335084351955,0.12126111560226355,0.14147606696533838,0.10609213694046599,0.08313349320543566,0.0907797984688474,0.0930200509887687,0.09425728748472684,0.08742737887077669,0.08402077604644058,0.14398848092152627,0.22625082338116106,0.18481660506113165,0.15348381804228742,0.14457595138327328,0.17120437522292237,0.15654067788919643,0.16860452385644528,0.1954215522054718,0.16879672052085845,0.17611041713595316,0.16864091675640533,0.15787875721080863,0.18934766674810652,0.17176012232672128,0.17131770145310438,0.17358958462492252,0.17553364394842344,0.1499386614566768,0.14302059496567504,0.11204481792717086,0.1350634315759008,0.14159546894499375,0.14057093425605538,0.12165070650987243,0.09372698667737832,0.09892546477912331,0.11146330419032359,0.09228366579115496,0.08701099819017123,0.09279945007733287,0.07559821193794374,0.10373107718240461,0.07894903050590539,0.0744070686715238,0.09108574204517852,0.10311404413281089,0.10813271868419555,0.047572408003358053,0.08544498144241809,0.07583087100907356,0.08505593071807825,0.05119148173743889,0.07991475759190196,0.06634782849086335,0.07658053719828686,0.04669896678535987,0.08399832003359933,0.0731216866735726,0.03546899687227936,0.07053995126330641,0.05891016200294551,0.0628514720476348,0.05746737881143939,0.08640353908896108,0.05832104017290473,0.046408681993431386,0.059073287797673985,0.08327340171846019,0.05766790973049863,0.053152342791724594,0.04744856144588708,0.04960764859745648,0.07851468686495473,0.056425447876992524,0.07604562737642585,0.05151500960052451,0.07690828686791001,0.044065804935370156,0.09181799632728015,0.05280667476369013,0.07720304400573509,F
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10133423408208073,0.1310615989515072,0.1418216199180586,0.19182529142688506,0.12398401983744317,0.19538882375928096,0.1849796522382538,0.24825095915143308,0.2682979180081563,0.16028851933480265,0.17533003300330033,0.27806385169927905,0.3143006809848088,0.26702269692923897,0.33517136987782464,0.2555094219099329,0.33787465940054495,0.26069439507050596,0.23702594810379243,0.32014342425406583,0.30971738288811457,0.21628498727735368,0.3061849357011635,0.15706806282722513,0.1659625829812915,0.18315018315018314,0.1327360212377634,0.13490725126475547,0.2245638279495595,0.1643115346697338,0.1440691531935329,0.1726844583987441,0.13366998366255756,0.1937984496124031,0.221010755856785,0.16501650165016502,0.1467351430667645,0.15834173024327047,0.08538494378824535,0.06738544474393532,0.15461925009663702,0.07268322228952151,0.09454029780193808,0.08534503779565959,0.06460783046905284,0.0808080808080808,0.0,0.1151742009789807,0.08843036109064112,0.0,0.0,0.0,0.0,0.0,0.07392075694855116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09097525473071325,0.0,0.0,0.12222448563862294,0.0,0.0,F
Florida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0334518084883964,0.0,0.0,0.03193641105709521,0.016362327377446167,0.017723687708622576,0.012543588971676576,0.027904380987815086,0.039287282475561,0.03846647006026414,0.02855456777902572,0.05599969103618739,0.060811067614305804,0.09610328383107582,0.08818929082498586,0.11862766522024162,0.1484192628029626,0.14951746635857008,0.18095336573260262,0.18562589243217514,0.2413506656788128,0.2579647992337248,0.2848221443942782,0.25839259136762033,0.26186138941790177,0.25313251487153526,0.25366313108069055,0.25753031686008604,0.2587637359449518,0.1938031152947974,0.20094020168442464,0.17836200156372167,0.18100177520971839,0.1298800519520208,0.12186285488439497,0.10262096298568026,0.11176034694299007,0.13016790465499534,0.12389850436805441,0.12452660632903266,0.12706946056570348,0.11357794435876284,0.09723603768734701,0.1029047672416428,0.09885061927005602,0.1291262762748914,0.10083343743865222,0.12014929188608825,0.09845482876182882,0.09888041848744858,0.07913519826056224,0.08722741433021806,0.0738351803737732,0.07107077692659892,0.0744960871817066,0.07720264236968413,0.05361497106260466,0.06361513591186685,0.0927502736893322,0.06787609527335554,0.09561925031423263,0.07322562742800764,0.09087025746572949,0.08450639888542912,0.08810370188771757,0.1135126369680543,0.08767023897697901,0.0833686905905034,0.09668578573557528,0.11125756480575989,0.11485151340053218,0.10767018288872325,0.09339097810947676,0.08958022872260268,0.08759173746290107,0.09983733399891556,0.1039385910357225,0.1069104561793402,0.13245584805064978,0.11805479428952095,0.12631982437188555,0.1302307073155291,0.15496449904203763,F
Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009490187146490529,0.0,0.0,0.010651139671944898,0.011942131841135526,0.0,0.010568111478478796,0.0,0.0,0.01232809161141855,0.012273854235707095,0.012714396511169596,0.023888253265775677,0.036953973189255314,0.03956429816644206,0.05610131659047233,0.08997277139812951,0.06749722574961961,0.0937121437224292,0.10887132980156235,0.1414587223448198,0.1643011955533804,0.20387479966060149,0.20586539932005601,0.20633471285085794,0.19539023772478922,0.2016932571649416,0.28469836388535186,0.24817405616706098,0.20882205377845878,0.20600809922253108,0.2462776886487095,0.18872311037566838,0.18881191728735872,0.15165671419479762,0.15801987801456147,0.13507638802633212,0.14368274849133114,0.10387222014099377,0.1557255078381839,0.14398848092152627,0.13219862843922994,0.1139168407062844,0.1580373269114991,0.14692072339523188,0.13399174972147782,0.12274162887122607,0.09984436026194463,0.10472982535593989,0.09027652393716754,0.06852904422138913,0.06466598041544594,0.0520231947316999,0.04144062688366486,0.05992314205692698,0.05160846378806125,0.03771551724137931,0.03384827847655668,0.04461268081654725,0.03932789975453966,0.03833747554333457,0.03525356452707996,0.03426482905657504,0.040894727058677735,0.03483583612227378,0.037507970443719285,0.04560694211616211,0.038065767823374834,0.046508781592313815,0.06032433199673539,0.042945590322926976,0.04626272224861837,0.04363059430157996,0.06040937890729268,0.06775360751920888,0.042648940394429166,0.06772824418289636,0.052034550941825373,0.06021466528172936,0.06134969325153375,0.06803602669604095,0.06210430072282506,0.0519471214129617,F
