state,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.09170946441672781,0.11103128469727647,0.12285012285012285,0.10700028807769868,0.0711309826237171,0.04841787474010994,0.1304291117777488,0.10210387726039176,0.07324039940431142,0.06964394532950292,0.09199828840393667,0.07228659508876369,0.07681926710266791,0.0720400033901178,0.05287024421985888,0.07966223213574444,0.053372341266703566,0.059815536603249335,0.06249621998669435,0.06804264005443411,0.06549592697204143,0.027754056362083692,0.04431731195358769,0.04147384964638086,0.024088162675391937,0.04233017536786938,0.05380571996192211,0.03223077232988195,0.03388479170819214,0.029912655047261993,0.026947433256982272,0.018842682444272767,0.01691017316017316,0.027510316368638238,0.015332720024532353,0.029778587443946188,0.023039351211869872,0.01789943272567054,0.012833675564681726,0.022883949769730256,0.024715050011630612,0.021696994243064194,0.014317007172820594,0.012977836738813827,0.02292822034019747,0.017359353074775413,0.011346712999078079,0.02428675514664914,0.023489686559494974,0.011805504316387515,0.02258661968649772,0.0,0.02192638997650744,0.0,0.0,0.008810262193402875,0.015032790273784692,0.0,0.0,0.0,0.0,0.0,0.012932706815536491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12004801920768307,0.0,0.0,0.0,0.0,0.10474860335195531,0.08652015919709292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12050612572805784,0.08741258741258741,0.10432968179447052,0.0,0.0,0.0,0.0,0.09227929867733005,0.08806693086745927,0.07346459006758742,0.07093204709887928,0.15019115237575095,0.09055627425614489,0.10940919037199125,0.08234971177600879,0.11196641007697691,0.1846153846153846,0.0,0.10774410774410774,0.07796257796257797,0.12850467289719628,0.11183180496533215,0.056490792000903844,0.08567144998929106,0.06172204505709289,0.044365572315882874,0.05434782608695652,0.062407364068960136,0.0,0.06295907660020986,0.08950414702547885,0.04071898086207899,0.05643022402798939,0.049426107968586964,0.03611784737629637,0.0,0.071396697902722,0.059729510644652074,0.03315100281783524,0.039032006245121,0.04781345397035566,0.04716467728476581,0.05261496369567505,0.02667111185197533,0.03664712153518124,0.04973639709539441,0.02717022143730471,0.048828125,0.03741114852225963,0.0,0.04336171554714601,0.02751356025469696,0.0,0.030432136335970784,0.0,0.0,0.01697447039652363,0.02937049244525667,0.020028707814534166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Arkansas,0.16281341582546402,0.2339311574022502,0.16804155209288116,0.2094028640907863,0.15170396055697027,0.19470404984423675,0.1560126452354559,0.16576250753465943,0.16364332718220118,0.15969657650464117,0.14085859717642538,0.10081915563957151,0.13108255003516847,0.12042083914311065,0.1453180345735824,0.19066642455057198,0.1514402274694029,0.11583857737703891,0.13072333579137896,0.10113950509068842,0.16775275824246727,0.09649183265559308,0.10253781081773904,0.1112383445116964,0.13852159677622466,0.11772359738529695,0.11012848323043552,0.08376288659793814,0.1051297115117034,0.09648303765950825,0.0967713556787191,0.05678108054396275,0.08897996602583115,0.0716370390023879,0.05582070389907617,0.07377678097149265,0.05296343001261034,0.06672802577082375,0.06254360010584302,0.05570490929787594,0.0569998265222671,0.0681491203715389,0.07834330034209908,0.07438499548376813,0.037192497741884066,0.07471980074719801,0.04942203673704731,0.05499491297055022,0.05131860299358518,0.04615073985404829,0.049457422977336865,0.026200110622689295,0.02313743637204998,0.017594275995542783,0.04456725198324271,0.027041644131963225,0.02181818181818182,0.02271608677545148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
California,0.14860539551897575,0.13781405703381744,0.19184652278177458,0.10268948655256724,0.09338205440519692,0.08324340989671651,0.10661296532117155,0.11452513966480446,0.11680501018937323,0.07936311103395254,0.10118949281348091,0.11023053385787863,0.0932221978504058,0.06627454229144229,0.07871155243400339,0.0641573994867408,0.06013878180416345,0.06506574666727193,0.07569449701006736,0.057498057498057496,0.053383949225932745,0.04940406348422158,0.04581069126753444,0.05396830588581615,0.05631511435096831,0.060994205550472705,0.04659628685839097,0.06255375713503793,0.06430944753420906,0.04764450228926023,0.03805054380568856,0.043489359288287184,0.03739202100057996,0.03328872191688689,0.028308656523828645,0.027781636338380333,0.01749085705199555,0.022479066369443454,0.017088742790686635,0.024165814666790592,0.02624128167944203,0.01513840830449827,0.019580967299784608,0.01517145642188786,0.01322770763826629,0.016199753763742792,0.016311550616780506,0.012060524274249803,0.011889428316655107,0.014242293786151957,0.009394640670652082,0.009907979639101842,0.012803617490366058,0.007798219510521357,0.009545536984183044,0.005387024005925727,0.00567681871079447,0.008930740322649787,0.006434201354756841,0.005181007118703781,0.005079803716384399,0.004514876518127229,0.005297495099817032,0.0029876482086914954,0.004107569017428416,0.00245096036797085,0.00314769785248314,0.0,0.0,0.0031425349083252733,0.0,0.004385676380939851,0.0027522935779816515,0.0,0.0014704801117564885,0.0,0.0013814673393491633,0.0,0.0015181955739538367,0.0011968794957786062,0.0,0.0,0.0,0.0012016486619642148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019114903507967092,0.0,0.0,F
Colorado,0.2569226377390808,0.17069701280227598,0.0,0.076057195010648,0.1106874923133686,0.12612612612612611,0.11449133137062481,0.12972148035101105,0.06150061500615006,0.12231975823859549,0.14977533699450823,0.12368219565345427,0.14853544055611667,0.09082652134423251,0.1181753722524226,0.08547530374259722,0.12316867626085828,0.10803940260565618,0.1302244822026541,0.14045840515865415,0.08815010703941568,0.11989651038051366,0.08550381478558275,0.13672409078479628,0.08516771488469602,0.12185736275012826,0.10260356547390022,0.07166318303971335,0.09783609576427257,0.12633513265188928,0.0441257584114727,0.0824492936843841,0.08577194752774975,0.0768418019402555,0.0385375018064454,0.057920648711265565,0.02741120726788581,0.05581330449645934,0.03452085059375863,0.01734485031394179,0.04029820672980052,0.04751797763487186,0.0545636424262633,0.02683043167183401,0.025962786672436174,0.025288712804518252,0.024323666927920866,0.018907165815844205,0.01899232167566541,0.0,0.0,0.015434877678594397,0.01846868239143053,0.01624123649947216,0.014226369999430945,0.0,0.01681859463823203,0.0,0.0,0.015459773668913488,0.014679114555809992,0.01832005129614363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Connecticut,0.0,0.0,0.06786233640329617,0.04058112166220275,0.03495077765480282,0.0,0.06494912318683697,0.039349939007594543,0.023005252866071087,0.02903359601824969,0.04442828870309786,0.0,0.021284747350048955,0.034126780991382985,0.0,0.056036898142161305,0.021924055073226343,0.02635740643120717,0.0,0.0,0.0,0.034420022618872004,0.0,0.0,0.0,0.027076789775804178,0.0,0.026528013582342955,0.0,0.0,0.02357934449422306,0.02448280083241523,0.0,0.0,0.020671122441948596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010120433154539015,0.0,0.0,0.014448480845442537,0.0,0.0,0.011358989504293699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.192466318394281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07189072609633358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Florida,0.13407072230601644,0.0,0.0,0.06466910972192283,0.09862743486479823,0.08511241932051919,0.09728978457261987,0.07399434952240011,0.06727417283346585,0.0,0.06111111111111111,0.07854636853956119,0.03575076608784474,0.11614401858304298,0.06703011886674412,0.05164468457015731,0.06949753283758427,0.07307003763106938,0.0496709300881659,0.06509508532105826,0.0778816199376947,0.04742933029785619,0.026914278024491995,0.08851733464470125,0.06462035541195477,0.030517045949952047,0.05645301372242487,0.07108509303784236,0.06318117201074079,0.04205214465937763,0.049678861644370326,0.042542051181360035,0.05021711517443063,0.0326133313263591,0.020928285740861315,0.02542118277830418,0.03846647006026414,0.032361843482895815,0.027034333603676672,0.017103112766523508,0.034452120618687555,0.028287131019335086,0.02497424530952455,0.015850600881869792,0.019029495718363463,0.018095336573260262,0.027367920038077104,0.022451224714308163,0.01414996789045748,0.018988142959618547,0.019637836943939144,0.013455328310010763,0.018984938615365144,0.010703085699607196,0.02173251619072456,0.009283003980087957,0.016852444808243255,0.006201858076679773,0.007329945269741987,0.00812187452864121,0.0,0.009880772017653647,0.0058977564934299,0.0,0.007165205760825432,0.006321352263676246,0.0,0.0,0.0,0.0,0.0,0.0,0.004611652724103264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Georgia,0.06320805173335926,0.04939491232403062,0.03479713271626418,0.061359599547876634,0.07572987935446807,0.0700929296583535,0.0651123713505566,0.03983813138196381,0.036125793816785184,0.056602104890775634,0.058424263252856774,0.06480313857363038,0.03489427036080676,0.047154686232717805,0.045155221072436504,0.059198964018129685,0.04174452351608158,0.030297865894071088,0.023276564379097645,0.07058870984006616,0.050920485703094404,0.04835687372811348,0.03620219880723282,0.03267573418290242,0.03260827866651322,0.023059185242121444,0.0311169023123748,0.036062711156664005,0.02788466900897886,0.032737391557390465,0.03550379890648299,0.02217824484782312,0.02672661813951295,0.018116762534535077,0.022836959334987743,0.030045701092714705,0.016437455481891402,0.022092937624272776,0.013985836162286557,0.015087317852068849,0.022936948876089505,0.012363843177013141,0.020291965575277224,0.023677045104770925,0.01372824930500738,0.01599963429407328,0.017958157493041214,0.023765065353929724,0.023305134121046865,0.017677005750919204,0.029409342760008002,0.018973306928814524,0.006030562892740408,0.006038720274399449,0.013213848112822238,0.010287007509515483,0.01220388625978006,0.007055071891182571,0.0,0.01641070525005812,0.0,0.0,0.0,0.007763010806111042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
