name,count
Aaliyah,90166
Aaron,581223
Abby,55813
Abel,51385
Abigail,371516
Abraham,85680
Ada,65116
Adam,551907
Addison,133387
Adeline,52264
Adrian,248809
Adriana,88017
Adrienne,61916
Agnes,114800
Aidan,111229
Aiden,214390
Aimee,49831
Alan,346811
Alana,55029
Albert,441720
Alberta,57869
Alberto,57301
Alec,48727
Alejandra,49362
Alejandro,133350
Alex,273632
Alexa,125371
Alexander,674644
Alexandra,231742
Alexandria,97174
Alexis,397953
Alfred,221481
Alfredo,51379
Alice,486329
Alicia,222332
Alisha,53742
Alison,109758
Allan,89376
Allen,259103
Allison,299592
Allyson,49072
Alma,126450
Alvin,149838
Alyssa,306755
Amanda,773282
Amber,367909
Amelia,190641
Amy,681596
Ana,99307
Andre,118659
Andrea,434127
Andres,82887
Andrew,1275094
Andy,84860
Angel,327297
Angela,657907
Angelica,87710
Angelina,113657
Angelo,74111
Angie,56769
Anita,206220
Ann,447277
Anna,745504
Annabelle,55991
Anne,303277
Annette,161450
Annie,280312
Anthony,1432396
Antoinette,69688
Antonio,243984
April,236360
Aria,56787
Ariana,102148
Arianna,92383
Ariel,85387
Arlene,137227
Armando,70229
Arnold,96544
Arthur,479637
Arturo,51275
Asher,60985
Ashley,855364
Ashton,89359
Aubrey,138748
Audrey,279706
Aurora,57943
Austin,413607
Autumn,125302
Ava,274287
Avery,183969
Ayden,76802
Bailey,117464
Barbara,1414699
Barry,176119
Beatrice,161808
Becky,83253
Belinda,68204
Bella,62768
Ben,69982
Benjamin,743282
Bennie,53259
Bernadette,47809
Bernard,186575
Bernice,164504
Bertha,136650
Bessie,102778
Beth,154306
Bethany,96127
Betty,982254
Beulah,51206
Beverly,373513
Bianca,70658
Bill,153985
Billie,124010
Billy,381858
Blake,183965
Blanche,54952
Bob,88100
Bobbie,98864
Bobby,316713
Bonnie,318299
Brad,80044
Bradley,304011
Brady,86398
Brandi,99740
Brandon,757861
Brandy,104708
Braxton,49294
Brayden,121254
Breanna,80410
Brenda,601857
Brendan,87080
Brent,136244
Brett,156931
Brian,1161253
Briana,91863
Brianna,253193
Bridget,85282
Brittany,356697
Brittney,80219
Brody,69255
Brooke,190124
Brooklyn,105913
Bruce,377136
Bryan,378118
Bryce,113730
Bryson,64524
Byron,74877
Caden,61454
Caitlin,109742
Caitlyn,50876
Caleb,286804
Callie,50792
Calvin,198357
Camden,47080
Cameron,304958
Camila,76207
Camille,63194
Candace,81430
Candice,64632
Cara,47825
Carl,476578
Carla,144676
Carlos,287007
Carly,62920
Carmen,146490
Carol,812800
Carole,106542
Caroline,216149
Carolyn,545048
Carrie,222447
Carson,112862
Carter,166806
Casey,182398
Cassandra,165181
Cassidy,56736
Catherine,610436
Cathy,166702
Cecil,99191
Cecilia,89787
Celeste,52478
Cesar,71422
Chad,237738
Chance,47296
Charlene,128555
Charles,2270010
Charlie,168344
Charlotte,357362
Chase,166025
Chelsea,158776
Cheryl,433821
Chester,107251
Cheyenne,67148
Chloe,211285
Chris,159251
Christian,438255
Christina,469265
Christine,572461
Christopher,2028289
Christy,95579
Cindy,253316
Claire,183703
Clara,212642
Clarence,263875
Claude,76099
Claudia,120036
Clayton,127506
Clifford,176251
Clifton,62064
Clinton,90725
Clyde,128924
Cody,285325
Colby,50363
Cole,136469
Colin,122891
Colleen,158266
Collin,74352
Colton,126426
Conner,52682
Connie,265358
Connor,214426
Constance,131646
Cooper,88514
Cora,99641
Corey,186353
Cory,127738
Courtney,272681
Craig,294453
Cristian,63125
Cristina,48089
Crystal,325431
Curtis,252293
Cynthia,701375
Daisy,119820
Dakota,119266
Dale,290629
Dallas,67335
Dalton,77830
Damian,87165
Damien,56131
Damon,60230
Dan,97997
Dana,235980
Daniel,1908751
Daniela,59441
Danielle,364996
Danny,280920
Darius,47985
Darlene,199324
Darrell,154728
Darren,100222
Darryl,87052
Daryl,60360
Dave,56051
David,3593482
Dawn,284263
Dean,175051
Deanna,131394
Debbie,184157
Deborah,730812
Debra,545533
Delores,112701
Denise,366630
Dennis,611248
Derek,229567
Derrick,139279
Desiree,79549
Destiny,145547
Devin,164700
Devon,84633
Diana,356013
Diane,511144
Dianna,52066
Dianne,91689
Diego,107222
Dillon,61300
Dolores,205757
Dominic,167980
Dominick,59957
Dominique,67318
Don,161193
Donald,1398886
Donna,822134
Donnie,60392
Donovan,53175
Dora,77134
Doris,446943
Dorothy,1049800
Douglas,551721
Drew,76583
Duane,110345
Dustin,204582
Dwayne,71201
Dwight,72695
Dylan,386921
Earl,262220
Earnest,50470
Easton,54570
Eddie,211169
Edgar,140174
Edith,213499
Edna,225539
Eduardo,102242
Edward,1216622
Edwin,228678
Eileen,179978
Elaine,252831
Eleanor,273336
Elena,76450
Eli,120603
